
开始回测股票: 300355 - 蒙草生态

--- 蒙草生态 (300355) 回测开始 ---
初始持仓数量: 190114, 初始股票价格: 5.26, 初始持仓市值: 999999.64, 初始现金: 1000000.00, 初始总资产: 1999999.64
交易时间: 2025-02-24 09:37:00 | 类型: 卖出 | 价格: 0.90 | 数量: 11111 | 成交额: 9992.90 | 印花税: 9.99 | 佣金: 3.00 | 持仓数量: 1111111, 现金数量: 1000581.04, 总资产: 1999881.15
交易时间: 2025-02-24 09:38:00 | 类型: 买入 | 价格: 0.89 | 数量: 11111 | 成交额: 9892.97 | 印花税: 0.00 | 佣金: 2.97 | 持仓数量: 1122222, 现金数量: 990685.10, 总资产: 1989885.18
交易时间: 2025-02-24 09:38:00 | 类型: 卖出 | 价格: 0.90 | 数量: 11111 | 成交额: 9991.90 | 印花税: 9.99 | 佣金: 3.00 | 持仓数量: 1111111, 现金数量: 1000664.01, 总资产: 1999864.19
交易时间: 2025-02-24 09:39:00 | 类型: 买入 | 价格: 0.89 | 数量: 11111 | 成交额: 9891.98 | 印花税: 0.00 | 佣金: 2.97 | 持仓数量: 1122222, 现金数量: 990769.06, 总资产: 1989869.22
交易时间: 2025-02-24 09:39:00 | 类型: 卖出 | 价格: 0.90 | 数量: 11111 | 成交额: 9990.90 | 印花税: 9.99 | 佣金: 3.00 | 持仓数量: 1111111, 现金数量: 1000746.98, 总资产: 1999847.24
交易时间: 2025-02-24 09:40:00 | 类型: 买入 | 价格: 0.89 | 数量: 11111 | 成交额: 9890.99 | 印花税: 0.00 | 佣金: 2.97 | 持仓数量: 1122222, 现金数量: 990853.01, 总资产: 1989853.27
交易时间: 2025-02-24 09:40:00 | 类型: 卖出 | 价格: 0.90 | 数量: 11111 | 成交额: 9989.90 | 印花税: 9.99 | 佣金: 3.00 | 持仓数量: 1111111, 现金数量: 1000829.93, 总资产: 1999830.28
交易时间: 2025-02-24 09:41:00 | 类型: 买入 | 价格: 0.89 | 数量: 11111 | 成交额: 9890.01 | 印花税: 0.00 | 佣金: 2.97 | 持仓数量: 1122222, 现金数量: 990936.96, 总资产: 1989837.31
交易时间: 2025-02-24 09:41:00 | 类型: 卖出 | 价格: 0.90 | 数量: 11111 | 成交额: 9988.91 | 印花税: 9.99 | 佣金: 3.00 | 持仓数量: 1111111, 现金数量: 1000912.88, 总资产: 1999813.33
交易时间: 2025-02-24 09:42:00 | 类型: 买入 | 价格: 0.89 | 数量: 11111 | 成交额: 9889.02 | 印花税: 0.00 | 佣金: 2.97 | 持仓数量: 1122222, 现金数量: 991020.90, 总资产: 1989821.36
交易时间: 2025-02-24 09:42:00 | 类型: 卖出 | 价格: 0.90 | 数量: 11111 | 成交额: 9987.91 | 印花税: 9.99 | 佣金: 3.00 | 持仓数量: 1111111, 现金数量: 1000995.82, 总资产: 1999796.38
交易时间: 2025-02-24 09:43:00 | 类型: 买入 | 价格: 0.89 | 数量: 11111 | 成交额: 9888.03 | 印花税: 0.00 | 佣金: 2.97 | 持仓数量: 1122222, 现金数量: 991104.82, 总资产: 1989805.41
交易时间: 2025-02-24 09:43:00 | 类型: 买入 | 价格: 0.88 | 数量: 11111 | 成交额: 9789.15 | 印花税: 0.00 | 佣金: 2.94 | 持仓数量: 1133333, 现金数量: 981312.74, 总资产: 1979815.46
交易时间: 2025-02-24 09:44:00 | 类型: 卖出 | 价格: 0.89 | 数量: 11111 | 成交额: 9887.04 | 印花税: 9.89 | 佣金: 2.97 | 持仓数量: 1122222, 现金数量: 991186.93, 总资产: 1989787.64
交易时间: 2025-02-24 09:44:00 | 类型: 买入 | 价格: 0.88 | 数量: 11111 | 成交额: 9788.17 | 印花税: 0.00 | 佣金: 2.94 | 持仓数量: 1133333, 现金数量: 981395.82, 总资产: 1979798.69
交易时间: 2025-02-24 09:45:00 | 类型: 卖出 | 价格: 0.89 | 数量: 11111 | 成交额: 9886.05 | 印花税: 9.89 | 佣金: 2.97 | 持仓数量: 1122222, 现金数量: 991269.02, 总资产: 1989769.87
交易时间: 2025-02-24 09:45:00 | 类型: 买入 | 价格: 0.88 | 数量: 11111 | 成交额: 9787.19 | 印花税: 0.00 | 佣金: 2.94 | 持仓数量: 1133333, 现金数量: 981478.89, 总资产: 1979781.93
交易时间: 2025-02-24 09:46:00 | 类型: 卖出 | 价格: 0.89 | 数量: 11111 | 成交额: 9885.06 | 印花税: 9.89 | 佣金: 2.97 | 持仓数量: 1122222, 现金数量: 991351.10, 总资产: 1989752.11
交易时间: 2025-02-24 09:46:00 | 类型: 买入 | 价格: 0.88 | 数量: 11111 | 成交额: 9786.21 | 印花税: 0.00 | 佣金: 2.94 | 持仓数量: 1133333, 现金数量: 981561.96, 总资产: 1979765.16
交易时间: 2025-02-24 09:47:00 | 类型: 卖出 | 价格: 0.89 | 数量: 11111 | 成交额: 9884.07 | 印花税: 9.88 | 佣金: 2.97 | 持仓数量: 1122222, 现金数量: 991433.18, 总资产: 1989734.34
交易时间: 2025-02-24 09:47:00 | 类型: 买入 | 价格: 0.88 | 数量: 11111 | 成交额: 9785.23 | 印花税: 0.00 | 佣金: 2.94 | 持仓数量: 1133333, 现金数量: 981645.01, 总资产: 1979748.40
交易时间: 2025-02-24 09:48:00 | 类型: 卖出 | 价格: 0.89 | 数量: 11111 | 成交额: 9883.08 | 印花税: 9.88 | 佣金: 2.96 | 持仓数量: 1122222, 现金数量: 991515.25, 总资产: 1989716.58
交易时间: 2025-02-24 09:48:00 | 类型: 买入 | 价格: 0.88 | 数量: 11111 | 成交额: 9784.25 | 印花税: 0.00 | 佣金: 2.94 | 持仓数量: 1133333, 现金数量: 981728.06, 总资产: 1979731.63
交易时间: 2025-02-24 09:49:00 | 类型: 卖出 | 价格: 0.89 | 数量: 11111 | 成交额: 9882.10 | 印花税: 9.88 | 佣金: 2.96 | 持仓数量: 1122222, 现金数量: 991597.31, 总资产: 1989698.82
交易时间: 2025-02-24 09:50:00 | 类型: 卖出 | 价格: 0.90 | 数量: 11111 | 成交额: 9980.92 | 印花税: 9.98 | 佣金: 2.99 | 持仓数量: 1111111, 现金数量: 1001565.25, 总资产: 1999666.86
交易时间: 2025-02-24 09:57:00 | 类型: 买入 | 价格: 0.89 | 数量: 11111 | 成交额: 9881.11 | 印花税: 0.00 | 佣金: 2.96 | 持仓数量: 1122222, 现金数量: 991681.18, 总资产: 1989682.88
交易时间: 2025-02-24 09:57:00 | 类型: 买入 | 价格: 0.88 | 数量: 11111 | 成交额: 9782.30 | 印花税: 0.00 | 佣金: 2.93 | 持仓数量: 1133333, 现金数量: 981895.95, 总资产: 1979699.93
交易时间: 2025-02-24 09:58:00 | 类型: 卖出 | 价格: 0.89 | 数量: 11111 | 成交额: 9880.12 | 印花税: 9.88 | 佣金: 2.96 | 持仓数量: 1122222, 现金数量: 991763.22, 总资产: 1989665.12
交易时间: 2025-02-24 09:58:00 | 类型: 买入 | 价格: 0.88 | 数量: 11111 | 成交额: 9781.32 | 印花税: 0.00 | 佣金: 2.93 | 持仓数量: 1133333, 现金数量: 981978.97, 总资产: 1979683.17
交易时间: 2025-02-24 09:59:00 | 类型: 卖出 | 价格: 0.89 | 数量: 11111 | 成交额: 9879.13 | 印花税: 9.88 | 佣金: 2.96 | 持仓数量: 1122222, 现金数量: 991845.26, 总资产: 1989647.37
交易时间: 2025-02-24 09:59:00 | 类型: 买入 | 价格: 0.88 | 数量: 11111 | 成交额: 9780.34 | 印花税: 0.00 | 佣金: 2.93 | 持仓数量: 1133333, 现金数量: 982061.99, 总资产: 1979666.42
交易时间: 2025-02-24 10:00:00 | 类型: 卖出 | 价格: 0.89 | 数量: 11111 | 成交额: 9878.14 | 印花税: 9.88 | 佣金: 2.96 | 持仓数量: 1122222, 现金数量: 991927.29, 总资产: 1989629.62
交易时间: 2025-02-24 10:00:00 | 类型: 卖出 | 价格: 0.90 | 数量: 11111 | 成交额: 9976.93 | 印花税: 9.98 | 佣金: 2.99 | 持仓数量: 1111111, 现金数量: 1001891.24, 总资产: 1999593.67
交易时间: 2025-02-24 10:27:00 | 类型: 买入 | 价格: 0.89 | 数量: 11111 | 成交额: 9877.16 | 印花税: 0.00 | 佣金: 2.96 | 持仓数量: 1122222, 现金数量: 992011.12, 总资产: 1989613.68
交易时间: 2025-02-24 10:27:00 | 类型: 买入 | 价格: 0.88 | 数量: 11111 | 成交额: 9778.38 | 印花税: 0.00 | 佣金: 2.93 | 持仓数量: 1133333, 现金数量: 982229.81, 总资产: 1979634.72
交易时间: 2025-02-24 10:28:00 | 类型: 卖出 | 价格: 0.89 | 数量: 11111 | 成交额: 9876.17 | 印花税: 9.88 | 佣金: 2.96 | 持仓数量: 1122222, 现金数量: 992093.13, 总资产: 1989595.94
交易时间: 2025-02-24 13:14:00 | 类型: 买入 | 价格: 0.88 | 数量: 11111 | 成交额: 9777.41 | 印花税: 0.00 | 佣金: 2.93 | 持仓数量: 1133333, 现金数量: 982312.79, 总资产: 1979617.97
交易时间: 2025-02-24 13:14:00 | 类型: 买入 | 价格: 0.87 | 数量: 11111 | 成交额: 9679.63 | 印花税: 0.00 | 佣金: 2.90 | 持仓数量: 1144444, 现金数量: 972630.26, 总资产: 1969642.02
交易时间: 2025-02-24 13:15:00 | 类型: 卖出 | 价格: 0.88 | 数量: 11111 | 成交额: 9776.43 | 印花税: 9.78 | 佣金: 2.93 | 持仓数量: 1133333, 现金数量: 982393.98, 总资产: 1979599.43
交易时间: 2025-02-24 13:16:00 | 类型: 买入 | 价格: 0.87 | 数量: 11111 | 成交额: 9678.66 | 印花税: 0.00 | 佣金: 2.90 | 持仓数量: 1144444, 现金数量: 972712.41, 总资产: 1969624.47
交易时间: 2025-02-24 13:16:00 | 类型: 卖出 | 价格: 0.88 | 数量: 11111 | 成交额: 9775.45 | 印花税: 9.78 | 佣金: 2.93 | 持仓数量: 1133333, 现金数量: 982475.15, 总资产: 1979580.88
交易时间: 2025-02-24 13:17:00 | 类型: 买入 | 价格: 0.87 | 数量: 11111 | 成交额: 9677.70 | 印花税: 0.00 | 佣金: 2.90 | 持仓数量: 1144444, 现金数量: 972794.55, 总资产: 1969606.92
交易时间: 2025-02-24 13:17:00 | 类型: 卖出 | 价格: 0.88 | 数量: 11111 | 成交额: 9774.47 | 印花税: 9.77 | 佣金: 2.93 | 持仓数量: 1133333, 现金数量: 982556.32, 总资产: 1979562.34
