
开始回测股票: 605300 - 佳禾食品
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.70 | 数量: 300 | 成交额: 4409.73 | 印花税: 4.41 | 佣金: 1.32 | 盈亏: 29.67
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.55 | 数量: 300 | 成交额: 4365.63 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.70 | 数量: 300 | 成交额: 4409.29 | 印花税: 4.41 | 佣金: 1.32 | 盈亏: 29.66
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.55 | 数量: 300 | 成交额: 4365.20 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.70 | 数量: 300 | 成交额: 4408.85 | 印花税: 4.41 | 佣金: 1.32 | 盈亏: 29.66
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.55 | 数量: 300 | 成交额: 4364.76 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.69 | 数量: 300 | 成交额: 4408.41 | 印花税: 4.41 | 佣金: 1.32 | 盈亏: 29.66
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.55 | 数量: 300 | 成交额: 4364.33 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.69 | 数量: 300 | 成交额: 4407.97 | 印花税: 4.41 | 佣金: 1.32 | 盈亏: 29.65
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.55 | 数量: 300 | 成交额: 4363.89 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.69 | 数量: 300 | 成交额: 4407.53 | 印花税: 4.41 | 佣金: 1.32 | 盈亏: 29.65
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.54 | 数量: 300 | 成交额: 4363.45 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.69 | 数量: 300 | 成交额: 4407.09 | 印花税: 4.41 | 佣金: 1.32 | 盈亏: 29.65
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.54 | 数量: 300 | 成交额: 4363.02 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.69 | 数量: 300 | 成交额: 4406.65 | 印花税: 4.41 | 佣金: 1.32 | 盈亏: 29.65
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.54 | 数量: 300 | 成交额: 4362.58 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.69 | 数量: 300 | 成交额: 4406.21 | 印花税: 4.41 | 佣金: 1.32 | 盈亏: 29.64
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.54 | 数量: 300 | 成交额: 4362.14 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.69 | 数量: 300 | 成交额: 4405.76 | 印花税: 4.41 | 佣金: 1.32 | 盈亏: 29.64
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.54 | 数量: 300 | 成交额: 4361.71 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.68 | 数量: 300 | 成交额: 4405.32 | 印花税: 4.41 | 佣金: 1.32 | 盈亏: 29.64
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.54 | 数量: 300 | 成交额: 4361.27 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.68 | 数量: 300 | 成交额: 4404.88 | 印花税: 4.40 | 佣金: 1.32 | 盈亏: 29.63
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.54 | 数量: 300 | 成交额: 4360.83 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.68 | 数量: 300 | 成交额: 4404.44 | 印花税: 4.40 | 佣金: 1.32 | 盈亏: 29.63
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.53 | 数量: 300 | 成交额: 4360.40 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.68 | 数量: 300 | 成交额: 4404.00 | 印花税: 4.40 | 佣金: 1.32 | 盈亏: 29.63
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.53 | 数量: 300 | 成交额: 4359.96 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.68 | 数量: 300 | 成交额: 4403.56 | 印花税: 4.40 | 佣金: 1.32 | 盈亏: 29.62
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.53 | 数量: 300 | 成交额: 4359.53 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.68 | 数量: 300 | 成交额: 4403.12 | 印花税: 4.40 | 佣金: 1.32 | 盈亏: 29.62
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.53 | 数量: 300 | 成交额: 4359.09 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.68 | 数量: 300 | 成交额: 4402.68 | 印花税: 4.40 | 佣金: 1.32 | 盈亏: 29.62
交易时间: 2025-02-24 10:53:00 | 类型: 卖出 | 价格: 14.82 | 数量: 300 | 成交额: 4446.71 | 印花税: 4.45 | 佣金: 1.33 | 盈亏: 74.08
